drug_row,drug_col,cell_line_name,drug_row_cid,drug_col_cid,synergy_zip,synergy_bliss,synergy_loewe,synergy_hsa,S,label
5-FLUORO-2'-DEOXYURIDINE,ALLOPURINOL,MCF7,3363,2094,-3.088139549,-0.677233195,-9.825716035,-1.380188465,-4.2105,antagonism
5-FU,ALLOPURINOL,MCF7,3385,2094,-0.331283362,-2.248068031,-7.189799353,0.519982424,-12.337,NA
ALTRETAMINE,ALLOPURINOL,MCF7,2123,2094,-0.606347975,4.276135376,-0.054581774,1.055946075,10.4985,NA
ANASTROZOLE,ALLOPURINOL,MCF7,2187,2094,-3.662745303,-4.756851116,-69.6686422,-1.660528222,-0.348,antagonism
AXITINIB,ALLOPURINOL,MCF7,6450551,2094,-3.534949367,-1.092564003,-3.265720109,-0.914021561,2.877,antagonism
BUSULFAN,ALLOPURINOL,MCF7,2478,2094,-2.714874756,-1.08027872,1.411634068,0.745056987,0.728,NA
CELECOXIB,ALLOPURINOL,MCF7,2662,2094,0.473465998,1.260063623,-2.237276321,-1.117995767,0.5045,NA
CHEMBL277800,ALLOPURINOL,MCF7,354624,2094,-1.503941407,-1.422609955,-0.591721038,-0.510218119,-0.6915,antagonism
CHLORAMBUCIL,ALLOPURINOL,MCF7,2708,2094,-10.68710027,-3.489323036,-6.968524888,-1.345708064,-2.6185,antagonism
CRIZOTINIB,ALLOPURINOL,MCF7,11626560,2094,-2.38755093,0.27747372,-4.048735314,0.391158254,1.5995,NA
DASATINIB,ALLOPURINOL,MCF7,3062316,2094,-1.183349503,0.128043106,-3.660885575,-2.102440341,-2.3095,NA
DEXRAZOXANE,ALLOPURINOL,MCF7,71384,2094,-5.499595734,-0.183345445,-4.664137968,0.932321251,1.555,NA
EXEMESTANE,ALLOPURINOL,MCF7,60198,2094,-1.855048752,-0.452090025,-5.313760662,-0.772716569,9.504,antagonism
GEFITINIB,ALLOPURINOL,MCF7,123631,2094,-5.173730724,-2.040057877,-4.76550652,-0.166708064,6.2055,antagonism
LAPATINIB,ALLOPURINOL,MCF7,208908,2094,3.554269426,5.986588772,2.966056178,-2.171940789,-1.4905,NA
LENALIDOMIDE,ALLOPURINOL,MCF7,216326,2094,-1.704024138,1.351886628,2.585635634,2.029315994,4.509,NA
LETROZOLE,ALLOPURINOL,MCF7,3902,2094,5.690159017,0.523448906,1.702907101,-1.790218,-2.2225,NA
MEGESTROL ACETATE,ALLOPURINOL,MCF7,11683,2094,1.518303296,0.71883199,-9.967040781,-9.859609481,5.5075,NA
MITOTANE,ALLOPURINOL,MCF7,4211,2094,-3.475773538,-3.99034786,-4.600403108,-3.121329078,-4.152,antagonism
NILOTINIB,ALLOPURINOL,MCF7,644241,2094,1.41543172,1.230817548,1.07204792,-1.352343267,-0.567,NA
PAZOPANIB HYDROCHLORIDE,ALLOPURINOL,MCF7,11525740,2094,0.127169666,-2.254427207,-5.152514038,-5.054053925,3.152,NA
RUXOLITINIB,ALLOPURINOL,MCF7,25126798,2094,-2.523311653,-3.318961121,-5.638693838,-4.3163634,0.7075,antagonism
TEMOZOLOMIDE,ALLOPURINOL,MCF7,5394,2094,-1.536473117,-0.507960255,1.27678446,0.2257243,0.786,NA
THIOTEPA,ALLOPURINOL,MCF7,5453,2094,-3.879633958,-3.28342983,-3.106435143,-2.437995896,-6.4225,antagonism
TRETINOIN,ALLOPURINOL,MCF7,444795,2094,-4.235981015,-1.960694405,-5.749140464,-1.102441178,3.1675,antagonism
VEMURAFENIB,ALLOPURINOL,MCF7,42611257,2094,-0.999292717,0.981418961,-0.407974116,-0.293899268,1.617,NA
ZOLINZA,ALLOPURINOL,MCF7,5311,2094,-9.227315952,-4.741412276,-21.1754388,-1.694832051,5.746,antagonism
5-FLUORO-2'-DEOXYURIDINE,AMIFOSTINE,MCF7,3363,2141,-7.003028433,-0.635377511,-49.32621816,1.009781881,3.958,NA
5-FU,AMIFOSTINE,MCF7,3385,2141,2.775603014,3.76238945,-14.03667091,1.482560281,4.959,NA
ALLOPURINOL,AMIFOSTINE,MCF7,2094,2141,2.322655786,4.140573638,-2.329904883,-1.59914132,7.848,NA
ALTRETAMINE,AMIFOSTINE,MCF7,2123,2141,3.489401372,1.786294809,-4.591864129,-3.829609878,2.3645,NA
ANASTROZOLE,AMIFOSTINE,MCF7,2187,2141,6.056856769,1.37864329,-7.886845866,-7.451066142,1.3945,NA
AXITINIB,AMIFOSTINE,MCF7,6450551,2141,-0.704307212,-1.9627033,-6.947762034,-2.568272556,-3.931,antagonism
BUSULFAN,AMIFOSTINE,MCF7,2478,2141,3.164789809,0.714924481,-6.995058144,-6.297889425,4.1895,NA
CELECOXIB,AMIFOSTINE,MCF7,2662,2141,2.754890174,0.831183508,-2.999609583,-2.805466809,-1.428,NA
CHEMBL277800,AMIFOSTINE,MCF7,354624,2141,-0.450553506,-3.56897428,-2.607978661,-3.821139456,-2.059,antagonism
CHLORAMBUCIL,AMIFOSTINE,MCF7,2708,2141,-3.030660487,4.702136948,-7.543578886,1.506093535,5.1545,NA
CRIZOTINIB,AMIFOSTINE,MCF7,11626560,2141,-1.831767321,-5.166996839,-13.14014422,-6.416922456,-7.754,antagonism
DASATINIB,AMIFOSTINE,MCF7,3062316,2141,2.121768477,-0.08241998,-5.830901948,-4.354399268,-0.756,NA
DEXRAZOXANE,AMIFOSTINE,MCF7,71384,2141,1.528432242,6.676724342,-5.952324628,3.734447733,16.815,NA
EXEMESTANE,AMIFOSTINE,MCF7,60198,2141,-7.483704042,-17.16554881,-32.47301638,-20.3317065,-10.063,antagonism
GEFITINIB,AMIFOSTINE,MCF7,123631,2141,-2.464012,-7.23340948,-28.80268597,-10.37521812,-3.7545,antagonism
IFOSFAMIDE,AMIFOSTINE,MCF7,3690,2141,3.4592791,5.73105453,0.369434297,1.004575378,6.6755,synergy
IMIQUIMOD,AMIFOSTINE,MCF7,57469,2141,2.071435847,2.063685708,0.06540784,-1.270969672,2.156,NA
LAPATINIB,AMIFOSTINE,MCF7,208908,2141,4.662757581,4.51028256,-6.819331705,-6.229001253,6.8835,NA
