drug_row,drug_col,cell_line_name,drug_row_cid,drug_col_cid,synergy_zip,synergy_bliss,synergy_loewe,synergy_hsa,S,label
5-FLUORO-2'-DEOXYURIDINE,ALLOPURINOL,PC3,3363,2094,-4.963930401,-2.629457963,-54.81633257,-3.127995896,1.566,antagonism
5-FU,ALLOPURINOL,PC3,3385,2094,2.649524104,1.472525051,-11.58711793,1.896892992,11.3745,NA
ALTRETAMINE,ALLOPURINOL,PC3,2123,2094,-0.063451826,-3.521610644,-5.281094698,-4.924329672,-1.8985,antagonism
ANASTROZOLE,ALLOPURINOL,PC3,2187,2094,-2.774232034,-4.515735129,-2.053432082,-2.844496314,-3.1545,antagonism
AXITINIB,ALLOPURINOL,PC3,6450551,2094,1.280861468,3.892392111,1.198562187,1.485100757,7.4795,synergy
BUSULFAN,ALLOPURINOL,PC3,2478,2094,-3.083016348,-3.226472041,-2.914324583,-2.893831902,1.6125,antagonism
CELECOXIB,ALLOPURINOL,PC3,2662,2094,4.29429511,-0.086553243,0.211853337,-0.226354932,-1.44,NA
CHEMBL277800,ALLOPURINOL,PC3,354624,2094,1.573258359,0.161962278,-3.190690282,-3.402466867,2.2735,NA
CHLORAMBUCIL,ALLOPURINOL,PC3,2708,2094,-6.468315619,-3.416392129,-9.954564251,-3.24146202,8.6875,antagonism
CRIZOTINIB,ALLOPURINOL,PC3,11626560,2094,0.343207671,5.167331353,-0.055179061,4.464518159,5.406,NA
DASATINIB,ALLOPURINOL,PC3,3062316,2094,-3.058757863,-5.746837092,-28.72807241,-4.725772222,-3.0945,antagonism
DEXRAZOXANE,ALLOPURINOL,PC3,71384,2094,-2.283337094,1.689244696,-3.52726447,1.857315757,10.86,NA
EXEMESTANE,ALLOPURINOL,PC3,60198,2094,3.403842405,5.11921784,-11.90266608,5.347736381,27.935,NA
GEFITINIB,ALLOPURINOL,PC3,123631,2094,1.167048204,5.906425783,-12.40669609,6.305593535,11.6565,NA
LAPATINIB,ALLOPURINOL,PC3,208908,2094,-1.938628749,-3.002360629,-3.922871455,-2.481641098,-2.2755,antagonism
LENALIDOMIDE,ALLOPURINOL,PC3,216326,2094,-3.081827037,1.9517694,2.43161141,2.482892992,1.584,NA
LETROZOLE,ALLOPURINOL,PC3,3902,2094,-0.162438956,-1.465852827,0.308782939,-1.558606808,0.352,NA
MEGESTROL ACETATE,ALLOPURINOL,PC3,11683,2094,0.750089253,-1.779575781,-5.340427213,-5.005387259,0.1215,NA
MITOTANE,ALLOPURINOL,PC3,4211,2094,1.265618121,1.817231336,1.07437405,1.275338148,-1.6615,synergy
NILOTINIB,ALLOPURINOL,PC3,644241,2094,0.956168122,0.377250945,-1.616527973,-1.904399381,2.801,NA
PAZOPANIB HYDROCHLORIDE,ALLOPURINOL,PC3,11525740,2094,-1.104051933,2.733165535,2.161935729,2.187704883,2.452,NA
RUXOLITINIB,ALLOPURINOL,PC3,25126798,2094,0.371202101,-2.284146684,-4.266862256,-4.064186864,-1.146,NA
TEMOZOLOMIDE,ALLOPURINOL,PC3,5394,2094,0.443048824,-3.242358849,-2.91325681,-4.281361594,-2.205,NA
THIOTEPA,ALLOPURINOL,PC3,5453,2094,-3.55382269,-2.335611758,-6.029741336,-2.850218889,2.3715,antagonism
TRETINOIN,ALLOPURINOL,PC3,444795,2094,1.331796288,-0.436186285,-3.010157609,-3.419109718,1.0595,NA
VEMURAFENIB,ALLOPURINOL,PC3,42611257,2094,0.251085942,3.616906298,1.880106706,1.869957949,4.81,synergy
ZOLINZA,ALLOPURINOL,PC3,5311,2094,-7.649084412,-4.172339091,-12.22719589,-1.156949633,7.957,antagonism
5-FLUORO-2'-DEOXYURIDINE,AMIFOSTINE,PC3,3363,2141,-3.021752107,6.4227238,-75.91960677,7.913115215,19.273,NA
5-FU,AMIFOSTINE,PC3,3385,2141,0.524798068,-0.418178725,-14.17706205,-1.265283369,-0.423,NA
ALLOPURINOL,AMIFOSTINE,PC3,2094,2141,3.60199241,2.019608856,-1.269692011,-2.262363789,2.6195,NA
ALTRETAMINE,AMIFOSTINE,PC3,2123,2141,-0.324318908,-1.059909732,-2.278681461,-1.958620985,-2.3955,antagonism
ANASTROZOLE,AMIFOSTINE,PC3,2187,2141,3.515988921,3.173309053,3.130696261,0.415337437,2.626,synergy
AXITINIB,AMIFOSTINE,PC3,6450551,2141,1.836579179,1.563680558,-0.473042959,-0.786220756,0.8275,NA
BUSULFAN,AMIFOSTINE,PC3,2478,2141,-1.653131603,2.628289171,-4.39079668,-0.021330178,4.244,NA
CELECOXIB,AMIFOSTINE,PC3,2662,2141,0.588938787,-2.85603166,-3.285192701,-5.6146625,-0.994,NA
CHEMBL277800,AMIFOSTINE,PC3,354624,2141,0.14754622,1.458742608,-76.99729914,2.909782444,12.8735,NA
CHLORAMBUCIL,AMIFOSTINE,PC3,2708,2141,-3.091980889,-1.919943852,-8.002354635,-2.817172258,-1.6605,antagonism
CRIZOTINIB,AMIFOSTINE,PC3,11626560,2141,-2.492906934,-2.157922304,-11.1343358,-2.383921978,-1.708,antagonism
DASATINIB,AMIFOSTINE,PC3,3062316,2141,-2.411684591,3.66153042,-11.7086277,1.0708922,5.3055,NA
DEXRAZOXANE,AMIFOSTINE,PC3,71384,2141,-0.945647652,3.407841763,-4.139544922,2.806335889,6.5705,NA
EXEMESTANE,AMIFOSTINE,PC3,60198,2141,-9.041872096,-17.10601482,-36.28416435,-17.6359959,-17.962,antagonism
GEFITINIB,AMIFOSTINE,PC3,123631,2141,-2.875667937,-0.473795084,-14.69076216,-1.082664444,-0.4485,antagonism
IFOSFAMIDE,AMIFOSTINE,PC3,3690,2141,2.057494944,2.967550462,-2.402812258,-1.243369,5.2605,NA
IMIQUIMOD,AMIFOSTINE,PC3,57469,2141,2.479277184,4.559660631,1.512450936,0.650101386,4.372,synergy
LAPATINIB,AMIFOSTINE,PC3,208908,2141,1.518983476,2.825930679,1.732518938,0.060892944,3.564,synergy
LENALIDOMIDE,AMIFOSTINE,PC3,216326,2141,-3.371508571,-3.468269409,-1.400422603,-4.067884785,-3.1455,antagonism
LETROZOLE,AMIFOSTINE,PC3,3902,2141,7.820846586,3.273701868,5.055353592,0.519781978,2.433,synergy
MEGESTROL ACETATE,AMIFOSTINE,PC3,11683,2141,2.410399412,2.701602577,-0.558868139,-0.246869024,0.2815,NA
METHOXSALEN,AMIFOSTINE,PC3,4114,2141,0.84725831,0.54546079,1.528990908,-0.074378965,-3.5805,NA
MITOTANE,AMIFOSTINE,PC3,4211,2141,0.385184624,1.01414342,5.483278201,2.325591356,-0.452,synergy
NILOTINIB,AMIFOSTINE,PC3,644241,2141,2.62138062,2.900396397,3.093843154,-0.31316453,3.464,NA
PAZOPANIB HYDROCHLORIDE,AMIFOSTINE,PC3,11525740,2141,-0.156083383,-0.55951399,0.500786118,0.441665711,-2.5005,NA
PROCARBAZINE HYDROCHLORIDE,AMIFOSTINE,PC3,9703,2141,2.840325093,4.741784969,8.963439142,5.375591633,5.752,synergy
RUXOLITINIB,AMIFOSTINE,PC3,25126798,2141,0.764717651,-0.989659152,-2.316353819,-2.632554044,-3.4635,NA
TEMOZOLOMIDE,AMIFOSTINE,PC3,5394,2141,-3.819266996,-4.248040778,5.093198077,-2.686884785,-3.7855,NA
THALIDOMIDE,AMIFOSTINE,PC3,5426,2141,-4.041318833,-0.407007593,-0.611402044,0.84867077,-2.744,NA
THIOTEPA,AMIFOSTINE,PC3,5453,2141,-4.900992715,0.054635402,-12.78215651,1.495337556,5.9605,NA
TRETINOIN,AMIFOSTINE,PC3,444795,2141,-2.233323241,-3.126619731,1.974361066,-2.171940211,-4.4935,NA
VEMURAFENIB,AMIFOSTINE,PC3,42611257,2141,0.247221996,-2.981114816,-4.065555456,-4.379998544,-2.9115,NA
ZOLINZA,AMIFOSTINE,PC3,5311,2141,0.116490309,6.010487124,-22.24534117,3.340892992,10.4235,NA
5-FLUORO-2'-DEOXYURIDINE,ANASTROZOLE,PC3,3363,2187,-1.103973035,2.186233463,0.304273834,0.400612542,7.961,NA
5-FU,ANASTROZOLE,PC3,3385,2187,4.253160003,2.654570177,2.766206498,2.944227,15.8995,synergy
ALTRETAMINE,ANASTROZOLE,PC3,2123,2187,0.586612061,2.361775544,1.81820966,1.313554878,1.475,synergy
AXITINIB,ANASTROZOLE,PC3,6450551,2187,1.219581435,-1.121203197,-2.992670689,-3.490776147,-0.0565,NA
