index,drug_row,drug_col,cell_line
1,176871,24856436,HT29
2,123631,24856436,HT29
3,176871,24964624,HT29
4,123631,24964624,HT29
5,176871,24748204,HT29
6,176871,11960529,HT29
7,176871,11977753,HT29
8,123631,24748204,HT29
9,71384,24856436,HT29
10,176871,46926350,HT29
11,123631,11960529,HT29
12,36462,123631,HT29
13,11626560,24856436,HT29
14,123631,11977753,HT29
15,71384,24964624,HT29
16,71384,24748204,HT29
17,11683,24856436,HT29
18,11626560,24964624,HT29
19,123631,46926350,HT29
20,2123,24856436,HT29
21,71384,11960529,HT29
22,11626560,24748204,HT29
23,216326,24856436,HT29
24,4211,24856436,HT29
25,176871,9826528,HT29
26,6450551,24856436,HT29
27,60699,24856436,HT29
28,5743,123631,HT29
29,4091,123631,HT29
30,11525740,24856436,HT29
31,216326,24964624,HT29
32,60198,24856436,HT29
33,11626560,11960529,HT29
34,11683,24964624,HT29
35,60699,24748204,HT29
36,57469,24856436,HT29
37,2123,24964624,HT29
38,36462,354624,HT29
39,2478,24856436,HT29
40,6450551,24964624,HT29
41,5453,24856436,HT29
42,3690,24856436,HT29
43,3902,24856436,HT29
44,60699,24964624,HT29
45,71384,11977753,HT29
46,644241,24856436,HT29
47,5426,24856436,HT29
48,36462,71384,HT29
49,11626560,11977753,HT29
50,216326,24748204,HT29
51,9703,24856436,HT29
52,11683,24748204,HT29
53,2662,24856436,HT29
54,60699,11960529,HT29
55,6450551,24748204,HT29
56,11525740,24964624,HT29
57,2187,24856436,HT29
58,60198,24748204,HT29
59,2123,24748204,HT29
60,4211,24964624,HT29
61,3363,24856436,HT29
62,11525740,24748204,HT29
63,4211,11960529,HT29
64,36462,6450551,HT29
65,11683,11960529,HT29
66,6450551,11960529,HT29
67,216326,11960529,HT29
68,5453,24964624,HT29
69,2123,11960529,HT29
70,2094,24856436,HT29
71,4114,24856436,HT29
72,4211,24748204,HT29
73,60198,11960529,HT29
74,57469,24964624,HT29
75,2123,11977753,HT29
76,4091,354624,HT29
77,444795,24856436,HT29
78,2478,24964624,HT29
79,644241,24964624,HT29
80,11525740,11960529,HT29
81,60198,24964624,HT29
82,36462,644241,HT29
83,3902,24964624,HT29
84,216326,11977753,HT29
85,11683,11977753,HT29
86,5743,354624,HT29
87,57469,24748204,HT29
88,9703,24964624,HT29
89,11525740,11977753,HT29
90,2662,24964624,HT29
91,5453,24748204,HT29
92,6450551,11977753,HT29
93,3363,24964624,HT29
94,71384,46926350,HT29
95,2478,24748204,HT29
96,9703,24748204,HT29
97,5453,11960529,HT29
98,5453,11977753,HT29
99,3690,24964624,HT29
100,2187,24748204,HT29
101,644241,24748204,HT29
102,2187,24964624,HT29
103,3690,24748204,HT29
104,5426,24964624,HT29
105,4091,71384,HT29
106,36462,176871,HT29
107,2662,24748204,HT29
108,4114,24964624,HT29
109,3902,24748204,HT29
110,123631,9826528,HT29
111,5743,71384,HT29
112,4211,11977753,HT29
113,36462,11626560,HT29
114,5426,24748204,HT29
115,3690,11960529,HT29
116,57469,11960529,HT29
117,354624,24856436,HT29
118,3363,24748204,HT29
119,2478,11960529,HT29
120,60699,11977753,HT29
121,444795,24964624,HT29
122,36462,25126798,HT29
123,2708,24856436,HT29
124,9703,11960529,HT29
125,2094,24964624,HT29
126,4114,24748204,HT29
127,11626560,46926350,HT29
128,4091,4211,HT29
129,3902,11960529,HT29
130,4091,6450551,HT29
131,2187,11960529,HT29
132,5743,6450551,HT29
133,444795,24748204,HT29
134,5743,11626560,HT29
135,2123,46926350,HT29
136,57469,11977753,HT29
137,2094,24748204,HT29
138,2662,11960529,HT29
139,644241,11960529,HT29
140,36462,11525740,HT29
